Vuosi,Kk,Pv,Klo,Aikavyöhyke,Ilmanpaine (msl) (hPa),Sademäärä (mm),Suhteellinen kosteus (%),Ilman lämpötila (degC),Tuulen nopeus (m/s)
2017,9,22,19:00,UTC,1027.5,0,93,11.1,4.2
2017,9,22,20:00,UTC,1027.8,0,94,10.9,3.8
2017,9,22,21:00,UTC,1028.1,0,94,11.1,3.6
2017,9,22,22:00,UTC,1028.5,0,94,10.9,4.2
2017,9,22,23:00,UTC,1028.6,0,95,11.1,4.1
2017,9,23,00:00,UTC,1028.7,0,95,10.8,4
2017,9,23,01:00,UTC,1028.7,0,96,10.5,3.8
2017,9,23,02:00,UTC,1028.8,0,94,11.6,3.8
2017,9,23,03:00,UTC,1029,0,88,12.4,4.4
2017,9,23,04:00,UTC,1029.1,0,89,12.2,5.6
2017,9,23,05:00,UTC,1029.2,0,89,12.3,3.8
2017,9,23,06:00,UTC,1029.4,0,90,12.1,4.1
2017,9,23,07:00,UTC,1029.8,0,89,12.7,3.9
2017,9,23,08:00,UTC,1030.2,0,84,13.1,6.5
2017,9,23,09:00,UTC,1030.4,0,80,14,4.3
2017,9,23,10:00,UTC,1030.5,0,75,14.5,6.3
2017,9,23,11:00,UTC,1030.6,0,75,14.9,6.5
2017,9,23,12:00,UTC,1030.7,0,74,14.9,5
2017,9,23,13:00,UTC,1030.8,0,74,14.3,6.6
2017,9,23,14:00,UTC,1030.8,0,72,14.5,4.3
2017,9,23,15:00,UTC,1030.7,0,73,14.1,4.7
2017,9,23,16:00,UTC,1031.1,0,75,13.5,3.6
2017,9,23,17:00,UTC,1031.3,0,80,12.7,3.6
2017,9,23,18:00,UTC,1031.7,0,84,12.1,4.3
2017,9,23,19:00,UTC,1031.9,0,86,11.6,3.5
2017,9,23,20:00,UTC,1032,0,89,11.4,3.7
2017,9,23,21:00,UTC,1032.4,0,90,11.8,3.8
2017,9,23,22:00,UTC,1033.1,0,90,11.7,3.2
2017,9,23,23:00,UTC,1033.3,0,88,11.2,3.2
2017,9,24,00:00,UTC,1033.1,0,89,11.1,3.8
2017,9,24,01:00,UTC,1033.2,0,90,11,4.1
2017,9,24,02:00,UTC,1033.5,0,90,11.1,3.1
2017,9,24,03:00,UTC,1033.6,0,88,11.3,3.5
2017,9,24,04:00,UTC,1033.5,0,90,10.7,3.9
2017,9,24,05:00,UTC,1033.9,0,92,11.2,4.2
2017,9,24,06:00,UTC,1034.3,0,88,12.3,3.8
2017,9,24,07:00,UTC,1034.9,0,85,13.2,5.4
2017,9,24,08:00,UTC,1035.3,0,78,14.2,5.6
2017,9,24,09:00,UTC,1035.7,0,76,14.5,5.8
2017,9,24,10:00,UTC,1036,0,71,15.1,4.6
2017,9,24,11:00,UTC,1036.1,0,58,15.8,4.6
2017,9,24,12:00,UTC,1036.3,0,60,16,5.5
2017,9,24,13:00,UTC,1036.5,0,69,15.1,5.4
2017,9,24,14:00,UTC,1036.4,0,71,14.6,4.6
2017,9,24,15:00,UTC,1036.4,0,75,13.8,5.5
2017,9,24,16:00,UTC,1036.6,0,76,13.2,3.5
2017,9,24,17:00,UTC,1036.9,0,79,12.2,3.9
2017,9,24,18:00,UTC,1037.3,0,84,11.4,3.2
2017,9,24,19:00,UTC,1037.6,0,87,11,3.1
2017,9,24,20:00,UTC,1037.9,0,90,9.8,2.9
2017,9,24,21:00,UTC,1038.6,0,94,9.2,2.3
2017,9,24,22:00,UTC,1038.8,0,95,8.9,3
2017,9,24,23:00,UTC,1038.9,0,96,10.5,3
2017,9,25,00:00,UTC,1038.9,0,95,10.6,3.2
2017,9,25,01:00,UTC,1039,0,96,9.9,2.8
2017,9,25,02:00,UTC,1039.1,0,96,9.8,3.2
2017,9,25,03:00,UTC,1039.3,0,96,9.6,3.3
2017,9,25,04:00,UTC,1039.5,0,96,9.7,3.4
2017,9,25,05:00,UTC,1039.8,0,96,9.8,2
2017,9,25,06:00,UTC,1040,0,97,10.4,3.7
2017,9,25,07:00,UTC,1040.3,0,97,11.2,3.4
2017,9,25,08:00,UTC,1040.6,0,98,12.2,3
2017,9,25,09:00,UTC,1040.6,0,93,13.8,3.8
2017,9,25,10:00,UTC,1040.6,0,72,15.9,5.7
2017,9,25,11:00,UTC,1040.7,0,65,16.1,6.3
2017,9,25,12:00,UTC,1040.7,0,62,16.1,5.9
2017,9,25,13:00,UTC,1040.4,0,61,16.3,3.6
2017,9,25,14:00,UTC,1040.1,0,60,16.6,3.2
2017,9,25,15:00,UTC,1040,0,63,15.9,3.7
2017,9,25,16:00,UTC,1040,0,71,14.6,3.8
2017,9,25,17:00,UTC,1039.9,0,73,13.6,4
2017,9,25,18:00,UTC,1040,0,78,12.6,3.6
2017,9,25,19:00,UTC,1040.3,0,82,12,3.4
2017,9,25,20:00,UTC,1040.3,0,84,11.3,2.8
2017,9,25,21:00,UTC,1040.2,0,85,11.4,3.5
2017,9,25,22:00,UTC,1040.5,0,91,9.8,3
2017,9,25,23:00,UTC,1040.5,0,94,9.9,3
2017,9,26,00:00,UTC,1040.6,0,95,10.9,3.1
2017,9,26,01:00,UTC,1040.7,0,94,10.7,3.3
2017,9,26,02:00,UTC,1040.8,0,95,10.5,2.9
2017,9,26,03:00,UTC,1040.8,0,96,10.7,3
2017,9,26,04:00,UTC,1040.7,0,96,11.1,2.9
2017,9,26,05:00,UTC,1040.9,0,96,11.5,3.3
2017,9,26,06:00,UTC,1041.2,0,93,12.4,3.7
2017,9,26,07:00,UTC,1041.4,0,89,12.8,4.6
2017,9,26,08:00,UTC,1041.8,0,86,13.1,4.6
2017,9,26,09:00,UTC,1041.8,0,82,13.1,4.9
2017,9,26,10:00,UTC,1041.8,0,79,13.2,4.7
2017,9,26,11:00,UTC,1041.9,0,77,13.4,4.4
2017,9,26,12:00,UTC,1041.8,0,78,13.1,4.3
2017,9,26,13:00,UTC,1041.7,0,77,13,4.7
2017,9,26,14:00,UTC,1041.5,0,85,12.7,4.8
2017,9,26,15:00,UTC,1041.4,0,83,12.5,4.4
2017,9,26,16:00,UTC,1041.4,0,83,12.1,4.3
2017,9,26,17:00,UTC,1041.5,0,84,11.9,3.7
2017,9,26,18:00,UTC,1041.8,0,86,11.8,3.5
2017,9,26,19:00,UTC,1042,0,87,11.8,3.3
2017,9,26,20:00,UTC,1042.1,0,88,11.9,3.5
2017,9,26,21:00,UTC,1042.4,0,89,11.7,2.6
2017,9,26,22:00,UTC,1042.6,0,87,11.8,3.2
2017,9,26,23:00,UTC,1042.6,0,87,12.1,2.4
2017,9,27,00:00,UTC,1042.5,0,87,11.8,2.4
2017,9,27,01:00,UTC,1042.5,0,89,11.5,2
2017,9,27,02:00,UTC,1042.5,0,90,11.4,2.2
2017,9,27,03:00,UTC,1042.4,0,90,11.4,3
2017,9,27,04:00,UTC,1042.6,0,90,11.5,1.7
2017,9,27,05:00,UTC,1042.8,0,90,11.5,2.2
2017,9,27,06:00,UTC,1043.1,0,89,11.9,1.9
2017,9,27,07:00,UTC,1043.3,0,83,12.6,2.9
2017,9,27,08:00,UTC,1043.5,0,81,13.1,1.8
2017,9,27,09:00,UTC,1043.6,0,76,13.9,2.5
2017,9,27,10:00,UTC,1043.6,0,74,14,2.5
2017,9,27,11:00,UTC,1043.7,0,75,13.7,3.5
2017,9,27,12:00,UTC,1043.5,0,75,13.8,2.7
2017,9,27,13:00,UTC,1043.3,0,73,13.9,3
2017,9,27,14:00,UTC,1043.2,0,75,13.4,3.7
2017,9,27,15:00,UTC,1043.1,0,79,12.6,4.4
2017,9,27,16:00,UTC,1043.1,0,83,11.7,3.2
2017,9,27,17:00,UTC,1043.1,0,87,10.9,2.3
2017,9,27,18:00,UTC,1043.3,0,90,10.2,2.2
2017,9,27,19:00,UTC,1043.3,0,94,9.3,1.9
2017,9,27,20:00,UTC,1043.4,0,95,10,2.4
2017,9,27,21:00,UTC,1043.5,0,88,10.8,4.2
2017,9,27,22:00,UTC,1043.7,0,84,10.7,4.6
2017,9,27,23:00,UTC,1043.9,0,84,10.3,4
2017,9,28,00:00,UTC,1043.9,0,85,10.4,3.9
2017,9,28,01:00,UTC,1043.7,0,86,10.3,2
2017,9,28,02:00,UTC,1043.5,0,85,10.4,2.5
2017,9,28,03:00,UTC,1043.5,0,86,10.2,2.7
2017,9,28,04:00,UTC,1043.4,0,85,10.2,2.2
2017,9,28,05:00,UTC,1043.3,0,84,10.2,2.4
2017,9,28,06:00,UTC,1043.3,0,83,10.5,1.8
2017,9,28,07:00,UTC,1043.4,0,81,10.9,2.3
2017,9,28,08:00,UTC,1043.3,0,78,11.2,2.5
2017,9,28,09:00,UTC,1043.3,0,77,11.6,2.5
2017,9,28,10:00,UTC,1043.1,0,77,11.7,2.1
2017,9,28,11:00,UTC,1042.9,0,74,11.9,2.9
2017,9,28,12:00,UTC,1042.6,0,73,12,3
2017,9,28,13:00,UTC,1042.1,0,71,12.3,2.8
2017,9,28,14:00,UTC,1041.8,0,74,11.9,2.6
2017,9,28,15:00,UTC,1041.3,0,79,10.9,2.4
2017,9,28,16:00,UTC,1041.2,0,83,10,2.5
2017,9,28,17:00,UTC,1041.1,0,91,8.6,1.6
2017,9,28,18:00,UTC,1041.2,0,93,8.2,1
2017,9,28,19:00,UTC,1041.3,0,95,7.2,1.2
2017,9,28,20:00,UTC,1041.2,0,96,7,1.5
2017,9,28,21:00,UTC,1041,0,96,7,1.9
2017,9,28,22:00,UTC,1040.9,0,97,6.2,1.5
2017,9,28,23:00,UTC,1040.5,0,97,6.6,2.8
2017,9,29,00:00,UTC,1040.2,0,97,5.7,3.3
2017,9,29,01:00,UTC,1039.8,0,97,5.2,2.9
2017,9,29,02:00,UTC,1039.5,0,98,4.8,2.3
2017,9,29,03:00,UTC,1039.4,0,98,4.6,1.9
2017,9,29,04:00,UTC,1039.2,0,98,4.2,1.9
2017,9,29,05:00,UTC,1039.1,0,98,4.3,2.1
2017,9,29,06:00,UTC,1039.1,0,98,5.1,-
2017,9,29,07:00,UTC,1039,0,97,7.1,1.1
2017,9,29,08:00,UTC,1038.9,0,88,8.5,1.4
2017,9,29,09:00,UTC,1038.5,0,86,9.1,2.5
2017,9,29,10:00,UTC,1037.7,0,77,11.3,1.6
2017,9,29,11:00,UTC,1037.3,0,74,12.9,1.5
2017,9,29,12:00,UTC,1036.6,0,64,13.6,2
2017,9,29,13:00,UTC,1036.2,0,60,14.1,2.9
2017,9,29,14:00,UTC,1035.7,0,64,14.4,1.7
2017,9,29,15:00,UTC,1035.5,0,68,14,2
2017,9,29,16:00,UTC,1035.8,0,88,11,4.2
2017,9,29,17:00,UTC,1035.8,0,91,10.1,3.8
2017,9,29,18:00,UTC,1035.8,0,86,10.1,3.8
2017,9,29,19:00,UTC,1035.8,0,86,9.8,3.2
2017,9,29,20:00,UTC,1035.7,0,84,9.6,2.7
2017,9,29,21:00,UTC,1035.7,0,83,9.3,3
2017,9,29,22:00,UTC,1035.6,0,81,9.1,3.3
2017,9,29,23:00,UTC,1035.5,0,83,8.6,3.8
2017,9,30,00:00,UTC,1035.3,0,84,8.4,3.2
2017,9,30,01:00,UTC,1035,0,86,8.1,3.7
2017,9,30,02:00,UTC,1034.9,0,90,7.7,3.8
2017,9,30,03:00,UTC,1034.6,0,92,7.4,3.8
2017,9,30,04:00,UTC,1034.4,0,91,7.4,2.9
2017,9,30,05:00,UTC,1034.5,0,90,7.6,3.9
2017,9,30,06:00,UTC,1034.4,0,89,7.7,4.3
2017,9,30,07:00,UTC,1034.7,0,89,7.9,-
2017,9,30,08:00,UTC,1034.6,0,87,8.3,2.8
2017,9,30,09:00,UTC,1034.3,0,86,8.7,3
2017,9,30,10:00,UTC,1034.1,0,84,9,3
2017,9,30,11:00,UTC,1033.8,0,83,9.5,3.3
2017,9,30,12:00,UTC,1033.8,0,82,9.7,2.5
2017,9,30,13:00,UTC,1033.4,0,76,10.1,3
2017,9,30,14:00,UTC,1033.1,0,81,9.6,2.6
2017,9,30,15:00,UTC,1033,0,84,9.5,2.2
2017,9,30,16:00,UTC,1033.1,0,80,9.9,3.6
2017,9,30,17:00,UTC,1033.1,0,80,9.7,2.6
2017,9,30,18:00,UTC,1033.2,0,79,9.5,3.8
2017,9,30,19:00,UTC,1033.2,0,80,9.5,4.3
2017,9,30,20:00,UTC,1033.2,0,82,9.4,4.2
2017,9,30,21:00,UTC,1033.2,0,81,9.2,4.7
2017,9,30,22:00,UTC,1033.2,0,81,9.2,2.9
2017,9,30,23:00,UTC,1032.9,0,82,9.3,3.4
2017,10,1,00:00,UTC,1032.9,0,83,9,2.3
2017,10,1,01:00,UTC,1032.9,0,87,8.5,3
2017,10,1,02:00,UTC,1032.8,0,90,8.2,2.5
2017,10,1,03:00,UTC,1032.8,0.1,90,7.9,1.6
2017,10,1,04:00,UTC,1032.7,0,92,8,1.2
2017,10,1,05:00,UTC,1032.6,0,93,8.1,2
2017,10,1,06:00,UTC,1032.6,0,87,8.5,-
2017,10,1,07:00,UTC,1032.6,0,79,8.9,2.5
2017,10,1,08:00,UTC,1032.5,0,76,9.2,3.2
2017,10,1,09:00,UTC,1032.5,0,77,9.2,2.4
2017,10,1,10:00,UTC,1032.5,0,80,9.1,1.8
2017,10,1,11:00,UTC,1032.3,0,80,9.1,2.2
2017,10,1,12:00,UTC,1032.1,0,77,9.3,2
2017,10,1,13:00,UTC,1031.6,0,77,9.3,2.5
2017,10,1,14:00,UTC,1031.4,0,79,9.1,2.7
2017,10,1,15:00,UTC,1031.1,0,81,9,2.8
2017,10,1,16:00,UTC,1030.7,0,82,8.9,3.1
2017,10,1,17:00,UTC,1030.4,0,83,9,1.3
2017,10,1,18:00,UTC,1030.2,0,71,9.9,2.8
2017,10,1,19:00,UTC,1030.1,0,69,9.9,3.4
2017,10,1,20:00,UTC,1029.9,0,67,9.8,3.3
2017,10,1,21:00,UTC,1029.4,0,68,9.8,2.5
2017,10,1,22:00,UTC,1029.3,0,69,9.9,3.4
2017,10,1,23:00,UTC,1028.8,0,67,9.8,3.7
2017,10,2,00:00,UTC,1028.5,0,68,9.9,3.2
2017,10,2,01:00,UTC,1028,0,78,9.8,4.7
2017,10,2,02:00,UTC,1027.4,0,76,10,4.8
2017,10,2,03:00,UTC,1026.8,0,77,9.8,4.6
2017,10,2,04:00,UTC,1026,0,77,9.8,5.5
2017,10,2,05:00,UTC,1025.6,0,76,9.8,5.2
2017,10,2,06:00,UTC,1025.2,0,75,9.7,6
2017,10,2,07:00,UTC,1024.9,0,69,9.5,5.6
2017,10,2,08:00,UTC,1024.3,0,74,9.2,6.2
2017,10,2,09:00,UTC,1023.7,0,71,8.7,6.2
2017,10,2,10:00,UTC,1023.1,0,71,8.6,6.8
2017,10,2,11:00,UTC,1022.7,0,72,8.5,5.8
2017,10,2,12:00,UTC,1022.2,0,71,8.5,5.8
2017,10,2,13:00,UTC,1021.2,0,73,8.5,6
2017,10,2,14:00,UTC,1020.2,0,70,8.4,6.3
2017,10,2,15:00,UTC,1019.4,0,69,8.6,7.3
2017,10,2,16:00,UTC,1018.6,0,71,8.8,6.5
2017,10,2,17:00,UTC,1017.8,0,71,8.8,7.6
2017,10,2,18:00,UTC,1017.3,0,71,9,7.4
2017,10,2,19:00,UTC,1016.2,0,74,8.9,6.8
2017,10,2,20:00,UTC,1015.4,0,75,9,7.5
2017,10,2,21:00,UTC,1014.7,0,75,9,8
2017,10,2,22:00,UTC,1013.6,0,75,8.6,8.5
2017,10,2,23:00,UTC,1012.4,0,76,8.3,7.9
2017,10,3,00:00,UTC,1011.5,0,79,8.2,8
2017,10,3,01:00,UTC,1011.1,0,79,8.1,7.6
2017,10,3,02:00,UTC,1010.1,0,81,7.8,8.4
2017,10,3,03:00,UTC,1009.3,1.3,89,7.2,8.1
2017,10,3,04:00,UTC,1008.7,1.8,90,7.2,8.9
2017,10,3,05:00,UTC,1007.9,1.8,92,7.2,7.4
2017,10,3,06:00,UTC,1007.4,1.5,91,7.4,9.6
2017,10,3,07:00,UTC,1007.1,2.5,92,7.6,8.2
2017,10,3,08:00,UTC,1006.8,1.9,92,7.8,7.6
2017,10,3,09:00,UTC,1006.5,3.2,93,7.7,7.6
2017,10,3,10:00,UTC,1006.1,2.9,93,7.9,7.3
2017,10,3,11:00,UTC,1005.9,2.6,93,8,6.5
2017,10,3,12:00,UTC,1005.7,0.6,90,8.2,7.8
2017,10,3,13:00,UTC,1005.4,0.1,90,8.3,6.7
2017,10,3,14:00,UTC,1005.1,2.3,93,8.2,6
2017,10,3,15:00,UTC,1004.5,1.1,92,8.4,5.9
2017,10,3,16:00,UTC,1004.2,1.6,92,8.4,5.7
2017,10,3,17:00,UTC,1003.6,0.4,93,8.6,7.1
2017,10,3,18:00,UTC,1003,0,92,9,6.7
2017,10,3,19:00,UTC,1002.5,0,93,9.3,5.8
2017,10,3,20:00,UTC,1002.1,0,93,9.7,7.4
2017,10,3,21:00,UTC,1001.6,0.1,94,10.1,6
2017,10,3,22:00,UTC,1001.2,0,93,10.3,6.5
2017,10,3,23:00,UTC,1000.5,0.1,93,10.8,5.5
2017,10,4,00:00,UTC,999.9,0,92,11.2,6.8
2017,10,4,01:00,UTC,999.3,0,91,11.5,7.8
2017,10,4,02:00,UTC,998.6,0.1,93,11.4,8.2
2017,10,4,03:00,UTC,997.8,1.6,93,11.5,7.8
2017,10,4,04:00,UTC,997.3,0,92,11.7,7.8
2017,10,4,05:00,UTC,996.7,0.1,93,11.6,8.1
2017,10,4,06:00,UTC,996,0.2,93,11.7,7.6
2017,10,4,07:00,UTC,995.6,1.9,94,11.3,7.1
2017,10,4,08:00,UTC,995,3.1,94,11.6,7.8
2017,10,4,09:00,UTC,994.8,0.6,91,10.8,8.6
2017,10,4,10:00,UTC,994.2,1.5,95,11.4,4.7
2017,10,4,11:00,UTC,994,0,81,12.9,8.1
2017,10,4,12:00,UTC,993.8,0,73,13.1,8.7
2017,10,4,13:00,UTC,993.7,0,72,13.3,7
2017,10,4,14:00,UTC,993.7,0,76,12,7.7
2017,10,4,15:00,UTC,993.4,0,77,11.4,5.7
2017,10,4,16:00,UTC,993.2,0,78,11,5
2017,10,4,17:00,UTC,992.8,0,79,10.8,5.3
2017,10,4,18:00,UTC,992.5,0,80,10.3,4.1
2017,10,4,19:00,UTC,992.2,0,83,10.1,4.4
2017,10,4,20:00,UTC,991.7,1,89,9.7,6.3
2017,10,4,21:00,UTC,991.5,1.7,93,9.4,7
2017,10,4,22:00,UTC,991,0.3,93,9.6,4
2017,10,4,23:00,UTC,990.6,1.3,91,8.9,4.3
2017,10,5,00:00,UTC,990,1.2,94,9.4,5.3
2017,10,5,01:00,UTC,989.3,0.1,93,9.4,4.2
2017,10,5,02:00,UTC,988.5,0,93,9.2,4
2017,10,5,03:00,UTC,987.9,0,92,9.2,4.8
2017,10,5,04:00,UTC,987.4,0,90,9.5,5.4
2017,10,5,05:00,UTC,986.8,0,86,9.7,5.8
